repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
nhost/nhost,0.27857343442853133,0.0005828261542636852,0.0003542401930833846,0.00035424019308338356,nhost/nhost,9144,typescript,321,671,992
r0f1/datascience,0.3265936534681269,0.0005794833965474872,0.0008996141500700542,0.0008996141500700544,r0f1/datascience,4613,unknown,225,938,1163
evroon/bracket,0.31142937377141255,0.0005759753081850909,0.000733693027604084,0.0007336930276040847,evroon/bracket,1653,typescript,652,457,1109
SFTtech/openage,0.30609379387812413,0.0005759525055790382,0.0007318458300130443,0.0007318458300130451,SFTtech/openage,14192,python,906,184,1090
Developer-Y/cs-video-courses,0.2900870541982589,0.0005758630050373394,0.0006253057813308256,0.0006253057813308242,Developer-Y/cs-video-courses,80537,unknown,977,56,1033
Ly0n/awesome-robotic-tooling,0.31311429373771416,0.00057557186197668,0.0008469599683797807,0.0008469599683797805,Ly0n/awesome-robotic-tooling,3810,unknown,994,121,1115
xitu/gold-miner,0.2957034540859309,0.0005755643523412285,0.0005200999559017039,0.000520099955901704,xitu/gold-miner,34319,unknown,21,1032,1053
AzeemIdrisi/PhoneSploit-Pro,0.30777871384442573,0.0005752349508069658,0.0007333632755581267,0.0007333632755581266,AzeemIdrisi/PhoneSploit-Pro,5795,python,1056,40,1096
rcourtman/Pulse,0.29879247402415055,0.0005744923547034964,0.000523046027495668,0.0005230460274956682,rcourtman/Pulse,5521,go,211,853,1064
ClickHouse/ClickHouse,0.29626509407469814,0.0005735789553955462,0.000564643150928021,0.0005646431509280207,ClickHouse/ClickHouse,47125,c++,1017,38,1055
appsmithorg/appsmith,0.2931760741364785,0.0005711849635297786,0.000472778686399855,0.0004727786863998554,appsmithorg/appsmith,39709,typescript,794,250,1044
hemansnation/AI-Engineer-Headquarters,0.32210053355798934,0.0005708139958489567,0.0008992560120804534,0.0008992560120804535,hemansnation/AI-Engineer-Headquarters,3668,jupyter notebook,567,580,1147
Avaiga/taipy,0.3133951137320977,0.0005706502443657674,0.0007945091647329304,0.0007945091647329306,Avaiga/taipy,19174,python,1093,23,1116
lance-format/lance,0.3232238135355237,0.0005703853755828073,0.0009026710494500821,0.0009026710494500811,lance-format/lance,6366,rust,459,692,1151
rasbt/reasoning-from-scratch,0.32771693344566133,0.0005696646727905172,0.0009362514090323462,0.0009362514090323461,rasbt/reasoning-from-scratch,4249,jupyter notebook,218,949,1167
sherlock-project/sherlock,0.30525133389497333,0.0005676153315883883,0.0007399373350956707,0.0007399373350956716,sherlock-project/sherlock,82681,python,166,921,1087
psalias2006/gpu-hot,0.31142937377141255,0.0005660788291583413,0.0007871041959069652,0.0007871041959069653,psalias2006/gpu-hot,1518,javascript,249,860,1109
alphacep/vosk-api,0.30862117382757653,0.0005652134569709027,0.0007918125979652749,0.0007918125979652743,alphacep/vosk-api,14641,jupyter notebook,808,291,1099
ZoneMinder/zmNinja,0.29121033417579334,0.0005621309287572054,0.0006124139789227539,0.0006124139789227549,ZoneMinder/zmNinja,1087,javascript,818,219,1037
isl-org/Open3D,0.3108677337826453,0.0005614549541512849,0.0008586629320348261,0.0008586629320348257,isl-org/Open3D,13538,c++,509,598,1107
lukasmasuch/best-of-ml-python,0.3192923336141533,0.0005611676154609952,0.0009040544036393673,0.0009040544036393672,lukasmasuch/best-of-ml-python,23454,unknown,410,727,1137
kitops-ml/kitops,0.3058129738837405,0.0005594824758103269,0.0006816909319691241,0.0006816909319691236,kitops-ml/kitops,1339,go,444,645,1089
